,Created at,User ID,User Name,Text,Description,Location,Followers Count,Friends Count,Statuses Count,Profile Image Url
286,Sat Sep 24 04:01:00 +0000 2022,1573522864724094977,Liverpool.com,"The 'perfect' #LFC midfielder just sent another powerful transfer reminder to Jürgen Klopp 🔴✍️

https://t.co/X6xCCkk1eu","Written, audio & video content for #LFC fans everywhere! 🔴✍🏼🎙️🌍

⭕ https://t.co/lo43QaNCNv 🗞️
⭕ https://t.co/NIeVBuSqnd 👍
⭕ https://t.co/B7RQBKd9To 🎥",Liverpool,20310,375,43967,http://pbs.twimg.com/profile_images/1133429755154444289/OpMNqlFP_normal.jpg
287,Sat Sep 24 04:00:01 +0000 2022,1573522617029472257,Man United News,"'I was struggling to find a negative... he can handle the Stretford End'

Inside Manchester United's transfer for M… https://t.co/jJbBleHGQP",💻 𝗙𝗮𝗰𝗲𝗯𝗼𝗼𝗸: https://t.co/rHu3ZrxBlJ      🎙𝗣𝗼𝗱𝗰𝗮𝘀𝘁: https://t.co/a22FvEytNQ,"Manchester, UK",1293814,352,273546,http://pbs.twimg.com/profile_images/1045658874773229570/krncu7XV_normal.jpg
288,Sat Sep 24 04:00:00 +0000 2022,1573522613216763905,LCFC Live,"James Maddison transfer update as Sean Dyche discusses next job.

#LCFC 

https://t.co/kfu63KAdRn","Leicester City news, views and transfer rumours brought to you by Leicestershire Live. Sign up for our newsletter below:",Leicester,22141,271,69102,http://pbs.twimg.com/profile_images/1560211871818518528/zarz7fa0_normal.jpg
289,Sat Sep 24 04:00:00 +0000 2022,1573522612873007116,Nottinghamshire Live Sport,Positive #nffc injury update emerges as striker makes transfer admission https://t.co/EGHJQnn5gF,The official Twitter feed for the NottinghamshireLive sport desk. Follow @nottslive for local news. #NFFC #Notts #MTFC #PanthersNation,"Nottingham, UK",15690,69,81356,http://pbs.twimg.com/profile_images/999614006275981313/yEjbw2r2_normal.jpg
290,Sat Sep 24 03:57:38 +0000 2022,1573522019513049088,DeshBhakt,"@Hotbit_news @BurtonMinnie4 Bro, 1 u have to transfer ur funds to funding accnt then u can withdraw","🇮🇳
https://t.co/sUK2Sf26wc",,45,400,2183,http://pbs.twimg.com/profile_images/1495106040911695877/pxyLoVFb_normal.jpg
291,Sat Sep 24 03:50:46 +0000 2022,1573520291661107200,detikTravel,Imigrasi Upayakan Bayar VoA Bisa Gesek Kartu dan Transfer Antarnegara https://t.co/oas16Hm1Id,Akun Twitter resmi situs informasi seputar dunia wisata http://t.co/8o2M3YGd Update Banget! Like juga fan page facebook-nya https://t.co/PXcacQTe,Indonesia,492040,54,136275,http://pbs.twimg.com/profile_images/1358971388510392324/hzThTJCK_normal.jpg
292,Sat Sep 24 03:50:39 +0000 2022,1573520260350717952,24hrs Report,Chelsea News: Todd Boehly close to first January transfer as Mason Mount solution offered https://t.co/zpfqWh3EXU,"Get live updates on everything you need to know about Politics, Entertainment, Gossip, Music, Sports, and More. We got you covered across the globe 🌍",Lagos ,8425,4033,230406,http://pbs.twimg.com/profile_images/1514300870367797257/ydf9bo9o_normal.jpg
293,Sat Sep 24 03:48:56 +0000 2022,1573519830824718338,Jamal James,"New agreement makes it easier to transfer from LDCC to ULM
https://t.co/PhlfAahGpr",Good Game,"Louisiana, USA",1636,3725,3603,http://pbs.twimg.com/profile_images/1563943000643977219/ZkgVpYt8_normal.jpg
294,Sat Sep 24 03:47:34 +0000 2022,1573519484438122497,Live WWFC News,Live #Wolves News - Raul Jimenez reveals Wolves injury update as Juventus plot transfer move https://t.co/Sc2SqmY6YS - By Birmingham Mail,Bringing you all the latest Wolves news from across the web in one place!,"Wolverhampton, England",3060,2517,22847,http://pbs.twimg.com/profile_images/1355238704235880450/u1DFi4-v_normal.jpg
295,Sat Sep 24 03:47:24 +0000 2022,1573519442671243265,OneBadKittyKat,"Daughter put herself right into the crime with mom's Venmo sent to daughter Classic Mistake of the Criminal, puttin… https://t.co/vyqUQ3rg1r",I DON'T DO POLITICS!,,196,352,27346,http://pbs.twimg.com/profile_images/1383674150720475143/ojBZHmum_normal.jpg
296,Sat Sep 24 03:45:59 +0000 2022,1573519084909694977,Manchester Derby,"#MUFC While the defence has certainly improved by leaps and bounds, the addition of Eriksen has changed the way the… https://t.co/UpUuCLMER1","#MUFC  #MCFC
order advertising https://t.co/1tYPjaFNaM…
RSS https://t.co/XqAgEJNxOh",Manchester,47300,46322,188074,http://pbs.twimg.com/profile_images/712578874845044736/Yeu3WQH0_normal.jpg
297,Sat Sep 24 03:42:52 +0000 2022,1573518300482572300,Peter Collins,Steve McManaman names two midfielders Liverpool should avoid as Andy Robertson makes 'dream' transfer admission https://t.co/204kkuv1nw,L.F.C Supporter and gaming geek 🤓,"North West, England",187,336,8815,http://pbs.twimg.com/profile_images/1465937315721879559/5HcW-yGr_normal.jpg
298,Sat Sep 24 03:42:05 +0000 2022,1573518105665495040,Ulak News,Cumhuriyet: Veli Kavlak'tan transfer itirafı! 'Menajerime bile talimat vermiştim'... https://t.co/rke2Mw8e9t ---… https://t.co/Xa5OSiqBiH,https://t.co/BQDg2LRkaW -Takip ederek Son dakika haberlerden haberdar olun. Tweetler sistem tarafından otomatik gönderilmektedir. Hukuksal konularda iletisime geciniz.,Türkiye,1613,274,651974,http://pbs.twimg.com/profile_images/1326613596332302341/kcSuf2NU_normal.jpg
299,Sat Sep 24 03:40:31 +0000 2022,1573517709815562240,Reggie Meezer,"🇪🇺🇷🇺A number of EU countries propose, as part of the new sanctions, to ban the transfer of dollar banknotes to Russ… https://t.co/FzlaJUxWHt",Army Veteran. Master Bricklayer/Stone Mason & a very “Suspicious Cat”,"South Bend, IN",3001,2673,125688,http://pbs.twimg.com/profile_images/1244705308280324097/1_RRloko_normal.jpg
300,Sat Sep 24 03:36:06 +0000 2022,1573516599092551681,Aerolyn Shaw,It's actually sick. He told her to do the embryo transfer KNOWING the news was going to drop that week and still didn't tell her. Evil.,She/Her 💕 | Social Media Manager + Influencer Mktg. Strategist 📲 | IG: @AerolynMonroe,Forever I Love Atlanta,977,1465,16526,http://pbs.twimg.com/profile_images/1252349129725849600/Czpu3iiq_normal.jpg
301,Sat Sep 24 03:30:59 +0000 2022,1573515313249136640,Keyoor Khristi,@socialepfo @AmritMahotsav @PMOIndia @byadavbjp @Rameswar_Teli @LabourMinistry @PIB_India @airnewsalerts @PTI_News… https://t.co/EkzSr13ZMn,,,0,7,2,http://pbs.twimg.com/profile_images/1478735278890127363/dg40-r20_normal.png
302,Sat Sep 24 03:30:16 +0000 2022,1573515129853026332,Nepal News English,TKP: Esewa Money Transfer launches ‘Mero Digital Desh’ campaign - https://t.co/w7G6MS5MSo,"Aggregates news from medias like MyRepublica, The Himalayan Times, Kathmandu Post, RatoPati, SetoPati, The Guardian, Al Jazeera, etc.","Kathmandu, Nepal",14634,58,436598,http://pbs.twimg.com/profile_images/449756431990788096/G1zT-nAm_normal.jpeg
303,Sat Sep 24 03:30:10 +0000 2022,1573515108332052487,Chelsea Addict,Chelsea News: Todd Boehly close to first January transfer as Mason Mount solution offered #ChelseaFC |… https://t.co/9fxCHkkubS,Bringing you all the latest news from #ChelseaFC with https://t.co/jaQTKsbZhJ. #CFC,"London, England",3589,4961,75159,http://pbs.twimg.com/profile_images/859483477581983746/_hVBIxo7_normal.jpg
304,Sat Sep 24 03:30:00 +0000 2022,1573515064560291840,Chelsea FC News,"📰 #ChelseaFC News: Todd Boehly close to first January transfer as Mason Mount solution offered

https://t.co/N39Rl8WMij","All the latest Chelsea news, rumours and opinion from @Football_LDN. Like us on Facebook for more: https://t.co/BMoCoDImls…","London, England",276509,770,153326,http://pbs.twimg.com/profile_images/1298603485823479809/yjHKQDPi_normal.jpg
305,Sat Sep 24 03:30:00 +0000 2022,1573515064274874370,football.london,"📰 #ChelseaFC News: Todd Boehly close to first January transfer as Mason Mount solution offered

https://t.co/m0rt3gGMa2",Comprehensive coverage of every football club in London.,"London, England",55609,288,110017,http://pbs.twimg.com/profile_images/1298602808661487617/kdW_xiBg_normal.jpg
306,Sat Sep 24 03:24:02 +0000 2022,1573513564278910976,Manchester Show,Sao Paulo 'demanding £15m Antony fee from Manchester United' - Sports Mole https://t.co/A5xw49IFGV,All the latest breaking news about Manchester.,"CANADA, St. Albert ",2202,1729,45584,http://pbs.twimg.com/profile_images/2884633631/23cbcc941b8177d9425f630fefac38bd_normal.png
307,Sat Sep 24 03:23:35 +0000 2022,1573513447618531328,LFCMAGAZINE,[Media: Liverpool Echo] Steve McManaman names two midfielders Liverpool should avoid as Andy Robertson makes 'dream… https://t.co/DQUnYPdJgr,"Liverpool Football Club [Digital Edition] Mixing LFC news with YOUR information, opinion, tweets and discussion regarding Liverpool Football Club.",Liverpool,83880,71086,140235,http://pbs.twimg.com/profile_images/937729107579817985/dkHAhE8s_normal.jpg
308,Sat Sep 24 03:23:03 +0000 2022,1573513316621852684,Mr Steve Shelby,https://t.co/9Jq6lMkep0 'Struggling for a negative' — Inside Manchester United's transfer for Martin Dubravka an…… https://t.co/K2hqbAVDzZ,"Designer, Lover of #TV #Football #Boxing #Oasis #Ofah #PeakyBlinders, share a lot of Global #News & stuff on the #RoyalFamily .. @DesignonPrint @BoxingInclusive","England, United Kingdom",1847,4778,224820,http://pbs.twimg.com/profile_images/1573341610624122882/lP2pGD5L_normal.jpg
309,Sat Sep 24 03:17:34 +0000 2022,1573511936133799949,NUFC News,Newcastle United transfer rumours as summer target pens new Watford deal &amp; Magpies monitor Ajax star: https://t.co/rkSjDq3zo6,"iOS: https://t.co/jHOpstU1Bz
Android: https://t.co/h3GvTZ6Q7l",St James Park,403,185,89604,http://pbs.twimg.com/profile_images/561259464943087616/b1I-1KKF_normal.png
